词,拼音,俄语释义,配图
次,cì,раз,否
红,hóng,красный,是
忙,máng,"занятой, хлопотливый",否
从,cóng,"с, от, из",否
火车站,huǒchēzhàn,железнодорожный вокзал,是
每,měi,каждый,否
错,cuò,"ошибочный, неверный; ошибка",否
机场,jīchǎng,аэропорт,是
妹妹,mèimei,младшая сестра,是
打篮球,dǎ lánqiú,играть в баскетбол,是
鸡蛋,jīdàn,(куриное) яйцо,是
门,mén,дверь,是
大家,dàjiā,"все, всяк",否
件,jiàn,"(счётное слово для одежды, дел)",否
面条儿,miàntiáor,лапша,是
到,dào,"прибывать, достигать; до",否
教室,jiàoshì,"класс, аудитория",是
男,nán,мужской; мужчина,是
得,de,(структурная частица степени),否
姐姐,jiějie,старшая сестра,是
您,nín,Вы (вежливое),否
等,děng,ждать,是
介绍,jièshào,"представлять, знакомить",否
牛奶,niúnǎi,молоко,是
弟弟,dìdi,младший брат,是
进,jìn,входить,否
女,nǚ,женский; женщина,是
第一,dì-yī,первый,否
近,jìn,близкий,否
旁边,pángbiān,"рядом, сбоку",否
懂,dǒng,понимать,否
就,jiù,"как раз, только, сразу",否
跑步,pǎobù,"бегать, бег",是
对,duì,"правильный, верный",否
觉得,juéde,"чувствовать, считать, полагать",否
便宜,piányi,дешёвый,否
对,duì,"к, по отношению к",否
咖啡,kāfēi,кофе,是
票,piào,билет,是
房间,fángjiān,комната,是
开始,kāishǐ,начинать(ся); начало,否
妻子,qīzi,жена,是
非常,fēicháng,"очень, чрезвычайно",否
考试,kǎoshì,сдавать экзамен; экзамен,是
起床,qǐchuáng,вставать (с кровати),是
服务员,fúwùyuán,"официант, обслуживающий персонал",是
可能,kěnéng,"возможно, может быть",否
千,qiān,тысяча,否
铅笔,qiānbǐ,карандаш,是
玩,wán,"играть, развлекаться",是
一下,yīxià,(кратковременность действия),否
晴,qíng,"ясный, солнечный (о погоде)",是
晚上,wǎnshang,вечер,是
已经,yǐjing,уже,否
去年,qùnián,прошлый год,否
往,wǎng,"в сторону, по направлению к",否
意思,yìsi,"значение, смысл",否
让,ràng,"позволять, просить, заставлять",否
为什么,wèishénme,"почему, зачем",否
因为……所以……,yīnwèi…… suǒyǐ……,потому что... поэтому...,否
日,rì,день; солнце,否
问,wèn,спрашивать,是
阴,yīn,пасмурный,是
上班,shàngbān,"идти на работу, работать",是
问题,wèntí,"вопрос, проблема",否
游泳,yóuyǒng,плавать,是
身体,shēntǐ,тело; здоровье,是
西瓜,xīguā,арбуз,是
右边,yòubian,"справа, правая сторона",否
生病,shēngbìng,"заболеть, болеть",是
希望,xīwàng,надеяться; надежда,否
鱼,yú,рыба,是
生日,shēngrì,день рождения,是
洗,xǐ,"мыть, стирать",是
远,yuǎn,далёкий,否
时间,shíjiān,время,否
小时,xiǎoshí,час,否
运动,yùndòng,заниматься спортом; спорт,是
事情,shìqing,"дело, событие",否
笑,xiào,"смеяться, улыбаться",是
再,zài,"снова, ещё раз",否
手表,shǒubiǎo,наручные часы,是
新,xīn,новый,否
早上,zǎoshang,утро (раннее),是
手机,shǒujī,мобильный телефон,是
姓,xìng,носить фамилию; фамилия,否
丈夫,zhàngfu,муж,是
说话,shuōhuà,"говорить, разговаривать",是
休息,xiūxi,отдыхать; отдых,是
找,zhǎo,искать,否
送,sòng,дарить; провожать; доставлять,是
雪,xuě,снег,是
着,zhe,(видовая частица длительности),否
虽然……但是……,suīrán…… dànshì……,хотя... но...,否
颜色,yánsè,цвет,是
真,zhēn,настоящий; действительно,否
它,tā,оно,否
眼睛,yǎnjing,"глаз, глаза",是
正在,zhèngzài,(прямо) сейчас (длительное действие),否
踢足球,tī zúqiú,играть в футбол,是
羊肉,yángròu,баранина,是
知道,zhīdào,знать,否
题,tí,"задача, вопрос (в тесте)",否
药,yào,лекарство,是
准备,zhǔnbèi,"готовиться, подготовить",否
跳舞,tiàowǔ,танцевать,是
要,yào,хотеть; нужно; собираться,否
走,zǒu,"идти, ходить; уходить",是
外,wài,"снаружи, вне",否
也,yě,"тоже, также",否
最,zuì,самый,否
完,wán,заканчивать(ся),否
一起,yìqǐ,вместе,否
左边,zuǒbian,"слева, левая сторона",否
